id,customer_id,amount,status,failure_reason
txn_1000,cust_313,8880.45,success,
txn_1001,cust_323,8295.28,success,
txn_1002,cust_305,4861.42,success,
txn_1003,cust_296,14914.3,success,
txn_1004,cust_336,8189.16,success,
txn_1005,cust_232,3156.08,success,
txn_1006,cust_411,11283.4,success,
txn_1007,cust_348,9249.44,success,
txn_1008,cust_162,9660.2,success,
txn_1009,cust_315,4468.54,success,
txn_1010,cust_495,3407.78,success,
txn_1011,cust_206,12392.79,success,
txn_1012,cust_105,1218.14,success,
txn_1013,cust_234,6499.39,success,
txn_1014,cust_103,5576.92,failed,invalid_card
txn_1015,cust_308,4707.28,success,
txn_1016,cust_120,12629.99,success,
txn_1017,cust_322,1273.17,success,
txn_1018,cust_314,9037.67,success,
txn_1019,cust_414,7633.86,success,
txn_1020,cust_336,10624.58,success,
txn_1021,cust_161,13428.84,success,
txn_1022,cust_396,12072.55,success,
txn_1023,cust_352,2073.43,success,
txn_1024,cust_161,2374.01,success,
txn_1025,cust_147,8980.59,success,
txn_1026,cust_344,2173.49,success,
txn_1027,cust_299,7849.48,success,
txn_1028,cust_323,11797.73,failed,insufficient_balance
txn_1029,cust_470,14023.56,success,
txn_1030,cust_429,1947.36,success,
txn_1031,cust_210,9128.53,success,
txn_1032,cust_388,2869.63,success,
txn_1033,cust_400,3199.03,success,
txn_1034,cust_290,7897.27,success,
txn_1035,cust_364,1164.71,success,
txn_1036,cust_414,10494.07,success,
txn_1037,cust_471,9974.52,success,
txn_1038,cust_274,6781.33,success,
txn_1039,cust_499,12948.41,success,
txn_1040,cust_189,6398.57,failed,suspected_fraud
txn_1041,cust_352,9152.39,success,
txn_1042,cust_478,649.18,success,
txn_1043,cust_167,13759.45,success,
txn_1044,cust_136,1716.62,success,
txn_1045,cust_292,6156.7,success,
txn_1046,cust_376,3307.96,success,
txn_1047,cust_295,11378.1,failed,insufficient_balance
txn_1048,cust_168,10079.14,success,
txn_1049,cust_307,13418.33,success,
txn_1050,cust_469,8275.73,success,
txn_1051,cust_471,10070.02,success,
txn_1052,cust_440,9261.56,success,
txn_1053,cust_191,10341.51,failed,invalid_card
txn_1054,cust_423,2808.42,success,
txn_1055,cust_368,8427.55,success,
txn_1056,cust_288,13040.16,success,
txn_1057,cust_321,9427.24,success,
txn_1058,cust_185,8445.73,success,
txn_1059,cust_440,3460.39,success,
txn_1060,cust_363,12759.14,success,
txn_1061,cust_495,2913.36,success,
txn_1062,cust_124,7272.93,success,
txn_1063,cust_449,1266.56,success,
txn_1064,cust_113,1239.73,failed,suspected_fraud
txn_1065,cust_483,4259.05,success,
txn_1066,cust_205,3618.48,success,
txn_1067,cust_378,1177.4,success,
txn_1068,cust_366,9762.68,failed,suspected_fraud
txn_1069,cust_255,5879.2,success,
txn_1070,cust_432,9675.6,success,
txn_1071,cust_365,11146.62,success,
txn_1072,cust_446,1941.1,success,
txn_1073,cust_289,13655.09,success,
txn_1074,cust_474,1051.55,success,
txn_1075,cust_324,6917.2,success,
txn_1076,cust_221,4554.29,success,
txn_1077,cust_433,11690.69,success,
txn_1078,cust_324,13827.63,success,
txn_1079,cust_215,14848.51,success,
txn_1080,cust_223,6168.79,success,
txn_1081,cust_195,14701.97,success,
txn_1082,cust_153,8543.05,success,
txn_1083,cust_262,9735.92,success,
txn_1084,cust_362,10820.99,success,
txn_1085,cust_457,1216.93,success,
txn_1086,cust_334,14811.81,failed,insufficient_balance
txn_1087,cust_117,14442.72,success,
txn_1088,cust_489,13199.25,failed,invalid_card
txn_1089,cust_424,7859.9,success,
txn_1090,cust_121,2398.55,success,
txn_1091,cust_292,668.58,success,
txn_1092,cust_241,14128.28,success,
txn_1093,cust_432,7854.48,success,
txn_1094,cust_175,9959.9,success,
txn_1095,cust_299,2237.64,success,
txn_1096,cust_221,6386.16,failed,invalid_card
txn_1097,cust_171,7880.83,success,
txn_1098,cust_196,1014.46,failed,network_timeout
txn_1099,cust_353,10217.9,success,
txn_1100,cust_466,1671.91,success,
txn_1101,cust_131,3368.66,failed,invalid_card
txn_1102,cust_371,6089.26,success,
txn_1103,cust_207,12059.76,success,
txn_1104,cust_476,5169.69,failed,insufficient_balance
txn_1105,cust_143,6189.6,success,
txn_1106,cust_123,5913.18,failed,suspected_fraud
txn_1107,cust_356,11970.65,failed,suspected_fraud
txn_1108,cust_164,13487.48,success,
txn_1109,cust_488,8153.85,success,
txn_1110,cust_176,12354.81,success,
txn_1111,cust_496,9326.98,success,
txn_1112,cust_216,5537.37,success,
txn_1113,cust_301,14487.18,success,
txn_1114,cust_403,8738.01,success,
txn_1115,cust_184,8911.12,failed,network_timeout
txn_1116,cust_388,5935.13,success,
txn_1117,cust_411,4293.62,success,
txn_1118,cust_261,9210.63,success,
txn_1119,cust_275,11136.18,success,
txn_1120,cust_144,8906.61,success,
txn_1121,cust_152,13591.07,failed,suspected_fraud
txn_1122,cust_367,11280.24,success,
txn_1123,cust_138,10125.59,success,
txn_1124,cust_195,13760.07,success,
txn_1125,cust_419,13334.54,success,
txn_1126,cust_228,775.45,success,
txn_1127,cust_200,13644.88,success,
txn_1128,cust_376,8994.08,failed,insufficient_balance
txn_1129,cust_176,9345.6,success,
txn_1130,cust_266,8499.48,success,
txn_1131,cust_373,2358.98,failed,invalid_card
txn_1132,cust_495,5192.19,success,
txn_1133,cust_350,13811.21,success,
txn_1134,cust_339,2059.8,failed,network_timeout
txn_1135,cust_436,3951.7,success,
txn_1136,cust_291,14382.03,success,
txn_1137,cust_384,8234.27,success,
txn_1138,cust_300,4538.23,failed,network_timeout
txn_1139,cust_276,4050.22,failed,invalid_card
txn_1140,cust_210,5666.08,success,
txn_1141,cust_439,807.75,success,
txn_1142,cust_346,2099.79,success,
txn_1143,cust_480,4888.53,success,
txn_1144,cust_348,7854.08,success,
txn_1145,cust_301,11493.01,success,
txn_1146,cust_314,14611.91,success,
txn_1147,cust_454,9300.68,success,
txn_1148,cust_274,4684.79,success,
txn_1149,cust_447,6940.6,success,
txn_1150,cust_265,14333.85,success,
txn_1151,cust_414,6534.81,success,
txn_1152,cust_293,950.02,success,
txn_1153,cust_303,9509.82,success,
txn_1154,cust_354,4576.36,success,
txn_1155,cust_265,4521.45,success,
txn_1156,cust_204,11877.14,success,
txn_1157,cust_102,14271.77,success,
txn_1158,cust_463,6527.24,failed,network_timeout
txn_1159,cust_154,6126.6,success,
txn_1160,cust_354,13255.63,success,
txn_1161,cust_313,8287.7,failed,suspected_fraud
txn_1162,cust_207,7150.37,success,
txn_1163,cust_299,9831.07,failed,invalid_card
txn_1164,cust_265,1477.93,success,
txn_1165,cust_388,10870.37,success,
